"treatment","block","fresh_weight","no3"
"0","1",13.29,116
"0","2",15.4,80
"0","3",14.44,197
"0","1",8.68,188
"0","2",13.25,177
"0","3",6.11,184
"0","1",9.89,154
"0","2",18.64,106
"0","3",14.54,176
"10","1",12.48,339
"10","2",18.1,333
"10","3",20.51,305
"10","1",20.26,289
"10","2",37.44,319
"10","3",31.6,322
"10","1",11.02,339
"10","2",20.95,253
"10","3",20.23,276
"20","1",19.81,371
"20","2",34.16,340
"20","3",26.39,343
"20","1",22.51,313
"20","2",31.15,346
"20","3",22.91,428
"20","1",22.55,356
"20","2",34.22,337
"20","3",25.72,316
"30","1",8.76,187
"30","2",12.69,295
"30","3",16.15,248
"30","1",14.41,245
"30","2",14.95,222
"30","3",17.56,215
"30","1",10.71,296
"30","2",13.26,197
"30","3",21.45,256
